ordinal,name,canonical_key,active_status,server_status,client_package
100,"Animal Garden - Bull Shark",animal-garden-bull-shark,ok,OK,Included
101,"Animal Garden - Fennec Fox",animal-garden-fennec-fox,ok,OK,Included
102,"Animal Garden - Sugar Glider",animal-garden-sugar-glider,ok,OK,Included
103,"Jagm's Kiwis",jagms-kiwis,ok,OK,Included
104,"Grim Kingdoms: Lost structures & ruins",grim-kingdoms,ok,OK,Included
105,"Gamingbarn's Guns",gamingbarns-guns,ok,OK,Included
106,"Animal Garden - Alligator Gar",animal-garden-alligator-gar,ok,OK,Included
107,PTS-Deco,pts-deco,ok,OK,Included
108,"More Beautiful Stairs",more-several-stairs,failed,"Rejected: boot test error","Not included"
109,"Villager Guards",villager-guards,ok,OK,Included
110,"LTX Industries",ltx-industries,failed,"Rejected: boot test error","Not included"
111,"New Cars [Immersive Vehicles/IV/MTS]",new-cars,ok,OK,Included
112,"Lio's Spiral Tower Villages",spiral-tower-villages,ok,OK,Included
