ordinal,name,canonical_key,active_status,server_status,client_package,process_status,primary_url
1,"CS - Complementary Structures",complementary-structures,skipped,"Skipped: missing compatible dependency","Not included",skipped,https://www.curseforge.com/minecraft/mc-mods/complementary-structures
2,"Animal Garden - Snow Leopard",animal-garden-snow-leopard,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/animal-garden-snow-leopard
3,"Desert Tombs",desert-tombs,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/desert-tombs
4,"Giant Natural Additions",giant-natural-additions,ok,OK,Included,ok,https://www.curseforge.com/minecraft/mc-mods/giant-natural-additions
