name,canonical_key,active_status,server_status,client_package,primary_url,source_kind,url,resolved_source,file_id,release_channel,is_primary,files
ModernArch,modernarch,ok,"Client-only: included",Included,https://www.curseforge.com/minecraft/texture-packs/modernarch/files/all,curseforge,https://www.curseforge.com/minecraft/texture-packs/modernarch/files/all,"CurseForge stable release file 8102751",8102751,stable,1,"ModernArch v2.4.3 [26.1] [128x].zip"
ModernArch,modernarch,ok,"Client-only: included",Included,https://www.curseforge.com/minecraft/texture-packs/modernarch/files/all,modrinth,https://modrinth.com/resourcepack/modernarch/versions?g=26.1.2,"Modrinth release file noJHxn6d: ModernArch v2.4.3 [26.1] [128x].zip",noJHxn6d,stable,0,"ModernArch v2.4.3 [26.1] [128x].zip"
